timestamp,throughput,loss_rate,rtt
0,9.11,0.024,52.69
1,8.99,0.006,68.44
2,6.92,0.047,65.44
3,4.12,0.059,87.69
4,4.86,0.052,69.4
5,4.12,0.002,54.8
6,8.46,0.077,83.0
7,6.78,0.086,46.52
8,7.98,0.009,95.85
9,7.58,0.009,90.34
10,7.97,0.066,51.55
11,7.05,0.097,81.33
12,3.79,0.065,45.64
13,5.53,0.092,57.83
14,8.37,0.039,124.91
15,6.21,0.088,146.06
16,3.4,0.096,44.99
17,2.14,0.028,128.96
18,9.01,0.05,100.93
19,6.96,0.009,118.24
20,4.32,0.099,143.69
21,8.0,0.045,54.81
22,9.77,0.098,77.34
23,7.38,0.094,89.37
24,9.29,0.026,83.95
25,4.72,0.074,104.96
26,8.9,0.052,70.45
27,5.09,0.067,50.58
28,3.45,0.05,137.14
29,6.75,0.053,64.36
30,8.38,0.05,104.86
31,8.05,0.092,46.35
32,7.5,0.076,135.76
33,6.33,0.004,93.24
34,3.32,0.059,43.65
35,2.72,0.024,147.29
36,9.01,0.08,121.47
37,9.25,0.031,77.71
38,9.08,0.077,101.26
39,8.22,0.013,88.9
40,3.76,0.026,40.27
41,4.23,0.002,30.37
42,7.75,0.021,111.54
43,7.88,0.024,80.32
44,9.68,0.025,101.54
45,9.79,0.041,30.37
46,3.06,0.057,75.73
47,9.12,0.049,106.3
48,4.63,0.039,44.25
49,3.17,0.008,67.3
50,5.97,0.058,42.43
51,8.89,0.008,36.39
52,7.8,0.028,57.71
53,8.94,0.05,145.69
54,2.64,0.084,148.92
55,8.93,0.075,110.87
56,4.74,0.088,31.21
57,7.96,0.003,67.31
58,6.05,0.06,46.81
59,2.73,0.078,117.5
