timestamp,throughput,loss_rate,rtt
0,9.6,0.073,30.61
1,8.6,0.053,36.5
2,8.67,0.056,99.0
3,7.1,0.042,57.51
4,7.95,0.09,50.72
5,3.17,0.098,51.87
6,2.24,0.061,76.7
7,6.85,0.046,101.93
8,3.62,0.041,123.62
9,3.48,0.006,42.64
10,4.23,0.09,142.82
11,5.11,0.026,114.51
12,2.38,0.003,50.07
13,5.91,0.095,53.18
14,6.04,0.074,35.78
15,4.07,0.075,145.5
16,4.31,0.065,86.28
17,7.63,0.002,96.23
18,5.53,0.073,116.38
19,8.17,0.033,108.23
20,8.52,0.097,129.15
21,4.45,0.055,51.85
22,8.62,0.044,100.23
23,3.14,0.067,116.55
24,3.89,0.063,126.99
25,4.33,0.083,129.72
26,5.91,0.028,142.27
27,7.91,0.05,77.66
28,2.01,0.093,133.87
29,7.37,0.029,135.05
30,8.89,0.023,70.93
31,3.17,0.049,72.33
32,7.23,0.013,48.11
33,7.79,0.055,82.86
34,2.64,0.014,60.24
35,8.72,0.08,43.14
36,4.02,0.075,53.68
37,9.52,0.047,98.39
38,2.1,0.093,105.44
39,7.16,0.038,51.35
40,3.38,0.094,121.74
41,5.64,0.097,132.45
42,7.98,0.032,57.75
43,2.56,0.046,119.29
44,6.32,0.072,45.86
45,8.18,0.035,142.34
46,6.42,0.055,138.06
47,3.75,0.021,100.93
48,5.37,0.091,39.11
49,3.96,0.03,100.66
50,6.52,0.02,131.23
51,9.22,0.092,35.68
52,3.42,0.052,50.32
53,5.63,0.008,135.65
54,5.24,0.041,144.56
55,7.05,0.044,82.79
56,2.75,0.01,129.78
57,4.76,0.031,136.8
58,4.7,0.075,138.89
59,6.21,0.078,135.06
