timestamp,throughput,loss_rate,rtt
0,6.28,0.096,135.42
1,3.93,0.038,75.18
2,5.74,0.01,110.97
3,7.69,0.099,64.07
4,3.89,0.062,113.11
5,2.02,0.099,148.34
6,2.59,0.001,78.21
7,3.83,0.08,57.27
8,2.95,0.009,112.26
9,6.21,0.069,131.89
10,9.57,0.028,85.27
11,3.73,0.022,83.63
12,4.54,0.021,67.77
13,2.42,0.05,143.78
14,3.36,0.016,32.59
15,6.84,0.002,39.95
16,2.12,0.058,71.13
17,6.52,0.052,77.13
18,8.31,0.058,84.81
19,7.89,0.034,137.01
20,6.42,0.008,41.11
21,2.94,0.048,104.77
22,7.92,0.001,63.96
23,4.52,0.086,42.06
24,9.77,0.031,85.2
25,2.59,0.076,127.07
26,4.0,0.026,111.41
27,7.15,0.016,55.22
28,8.91,0.03,145.02
29,5.68,0.077,96.3
30,2.41,0.058,148.95
31,5.85,0.091,73.58
32,3.97,0.017,130.32
33,8.63,0.009,73.71
34,4.85,0.026,79.96
35,5.22,0.012,54.7
36,4.71,0.034,66.16
37,8.71,0.09,32.99
38,8.22,0.004,131.45
39,7.69,0.086,98.6
40,4.12,0.014,121.48
41,5.3,0.088,145.4
42,3.25,0.009,30.89
43,5.18,0.098,74.16
44,7.48,0.054,41.67
45,7.39,0.072,53.61
46,5.35,0.0,47.43
47,8.3,0.083,58.48
48,9.57,0.061,99.19
49,2.15,0.023,110.08
50,5.65,0.004,93.94
51,3.45,0.065,121.06
52,3.58,0.031,112.65
53,4.0,0.047,108.7
54,3.4,0.06,92.05
55,3.75,0.049,145.99
56,3.34,0.046,108.25
57,6.14,0.091,133.4
58,3.58,0.056,71.72
59,2.35,0.081,133.58
