timestamp,throughput,loss_rate,rtt
0,4.22,0.029,82.74
1,6.42,0.073,56.16
2,8.11,0.091,97.74
3,6.03,0.092,36.76
4,7.18,0.074,128.86
5,3.86,0.035,51.5
6,3.21,0.029,48.8
7,6.42,0.045,108.56
8,9.94,0.033,63.68
9,8.57,0.086,92.83
10,4.05,0.029,31.79
11,3.35,0.01,60.19
12,6.75,0.011,83.67
13,8.48,0.084,86.07
14,4.02,0.061,48.75
15,5.89,0.067,144.91
16,5.58,0.055,45.12
17,7.53,0.028,108.56
18,2.89,0.077,136.73
19,4.16,0.087,110.91
20,9.71,0.075,119.98
21,3.62,0.032,100.31
22,4.2,0.061,129.97
23,7.34,0.088,116.33
24,9.58,0.025,76.69
25,9.43,0.023,65.76
26,8.7,0.083,47.83
27,8.28,0.021,135.38
28,3.71,0.02,120.2
29,8.24,0.034,105.11
30,7.38,0.036,38.04
31,4.86,0.059,30.27
32,6.12,0.067,37.92
33,9.67,0.07,123.05
34,5.49,0.024,62.23
35,4.62,0.014,141.48
36,2.88,0.062,59.35
37,5.2,0.01,124.53
38,3.03,0.02,76.08
39,7.62,0.03,87.3
40,8.94,0.057,44.76
41,4.07,0.068,46.3
42,8.66,0.056,51.56
43,8.27,0.087,144.72
44,2.83,0.051,142.87
45,9.16,0.005,133.47
46,8.82,0.011,112.9
47,9.22,0.055,96.08
48,6.52,0.013,74.94
49,7.75,0.078,68.71
50,8.24,0.079,99.41
51,3.51,0.01,65.86
52,8.57,0.067,49.8
53,7.27,0.083,135.41
54,4.94,0.069,128.39
55,7.5,0.094,65.57
56,3.03,0.035,88.08
57,2.74,0.025,70.26
58,5.85,0.002,62.93
59,6.85,0.067,99.62
